(2, 10, 25)	(2, 30, 29)	0.000000
(2, 10, 25)	(2, 30, 30)	0.000000
(2, 10, 25)	(2, 30, 42)	0.000000
(2, 10, 25)	(2, 30, 110)	0.000000
(2, 10, 25)	(2, 40, 10)	0.003000
(2, 10, 25)	(2, 40, 30)	0.005000
(2, 10, 25)	(2, 40, 50)	0.000000
(2, 10, 25)	(2, 40, 70)	0.000000
(2, 10, 25)	(2, 40, 128)	0.000000
(2, 10, 25)	(2, 60, 40)	0.000000
(2, 10, 25)	(2, 60, 120)	0.000000
(2, 10, 25)	(2, 80, 10)	0.000000
(2, 30, 29)	(2, 30, 30)	0.000000
(2, 30, 29)	(2, 30, 42)	0.000000
(2, 30, 29)	(2, 30, 110)	0.000000
(2, 30, 29)	(2, 40, 10)	0.000000
(2, 30, 29)	(2, 40, 30)	0.000000
(2, 30, 29)	(2, 40, 50)	0.000000
(2, 30, 29)	(2, 40, 70)	0.000000
(2, 30, 29)	(2, 40, 128)	0.000000
(2, 30, 29)	(2, 60, 40)	0.000000
(2, 30, 29)	(2, 60, 120)	0.000000
(2, 30, 29)	(2, 80, 10)	0.000000
(2, 30, 30)	(2, 30, 42)	0.000000
(2, 30, 30)	(2, 30, 110)	0.000000
(2, 30, 30)	(2, 40, 10)	0.007000
(2, 30, 30)	(2, 40, 30)	0.135000
(2, 30, 30)	(2, 40, 50)	0.999000
(2, 30, 30)	(2, 40, 70)	0.000000
(2, 30, 30)	(2, 40, 128)	0.000000
(2, 30, 30)	(2, 60, 40)	0.001000
(2, 30, 30)	(2, 60, 120)	0.000000
(2, 30, 30)	(2, 80, 10)	0.000000
(2, 30, 42)	(2, 30, 110)	0.000000
(2, 30, 42)	(2, 40, 10)	0.000000
(2, 30, 42)	(2, 40, 30)	0.000000
(2, 30, 42)	(2, 40, 50)	0.000000
(2, 30, 42)	(2, 40, 70)	0.000000
(2, 30, 42)	(2, 40, 128)	0.000000
(2, 30, 42)	(2, 60, 40)	0.000000
(2, 30, 42)	(2, 60, 120)	0.000000
(2, 30, 42)	(2, 80, 10)	0.000000
(2, 30, 110)	(2, 40, 10)	0.000000
(2, 30, 110)	(2, 40, 30)	0.000000
(2, 30, 110)	(2, 40, 50)	0.000000
(2, 30, 110)	(2, 40, 70)	0.000000
(2, 30, 110)	(2, 40, 128)	0.000000
(2, 30, 110)	(2, 60, 40)	0.000000
(2, 30, 110)	(2, 60, 120)	0.000000
(2, 30, 110)	(2, 80, 10)	0.000000
(2, 40, 10)	(2, 40, 30)	0.285000
(2, 40, 10)	(2, 40, 50)	0.031000
(2, 40, 10)	(2, 40, 70)	0.000000
(2, 40, 10)	(2, 40, 128)	0.000000
(2, 40, 10)	(2, 60, 40)	0.061000
(2, 40, 10)	(2, 60, 120)	0.000000
(2, 40, 10)	(2, 80, 10)	0.000000
(2, 40, 30)	(2, 40, 50)	0.030000
(2, 40, 30)	(2, 40, 70)	0.000000
(2, 40, 30)	(2, 40, 128)	0.000000
(2, 40, 30)	(2, 60, 40)	0.007000
(2, 40, 30)	(2, 60, 120)	0.000000
(2, 40, 30)	(2, 80, 10)	0.000000
(2, 40, 50)	(2, 40, 70)	0.000000
(2, 40, 50)	(2, 40, 128)	0.000000
(2, 40, 50)	(2, 60, 40)	0.001000
(2, 40, 50)	(2, 60, 120)	0.000000
(2, 40, 50)	(2, 80, 10)	0.000000
(2, 40, 70)	(2, 40, 128)	0.000000
(2, 40, 70)	(2, 60, 40)	0.000000
(2, 40, 70)	(2, 60, 120)	0.000000
(2, 40, 70)	(2, 80, 10)	0.000000
(2, 40, 128)	(2, 60, 40)	0.000000
(2, 40, 128)	(2, 60, 120)	0.000000
(2, 40, 128)	(2, 80, 10)	0.000000
(2, 60, 40)	(2, 60, 120)	0.002000
(2, 60, 40)	(2, 80, 10)	0.000000
(2, 60, 120)	(2, 80, 10)	0.000000
significant	65/78	(cutoff: 0.000641)
